"","de","en","es","fr","hu","it","ja","ko","nl","pl","pt","ru","zh-tw","zh","en-gb","tr","uk","cz","sk","th","ro","oc","ar","id","vi","fi"
"VR.Checkbox:Vehicles follow priority rules at junctions with timedTL","Fahrzeuge befolgen an zeitgesteuerten Ampeln die Vorrangsregelung","Vehicles follow priority rules at junctions with timed traffic lights","Vehículos siguen reglas de prioridad en cruces semáforos cronometrados","Les véhicules suivent les règles de priorité aux carrefours avec des feux de circulations chronométrés","A járművek az időzített lámpáknál követik az elsőbbségi szabályokat","I veicoli seguono le regole di precedenza agli incroci con semafori a tempo","車両は時間設定付き信号機がある交差点で一般的な優先のルールに従います","차량이 신호등 시간표가 구성된 교차로에서 우선통행 표지판 규칙을 준수","Vehicles follow priority rules at junctions with timed traffic lights","Pojazdy poruszają się zgodnie z regułami pierwszeństwa na skrzyżowaniach z sygnalizacją czasową","Veículos seguem as regras de prioridades nos cruzamentos com semáforos","Транспорт следует приоритету на настраиваемых светофорах","車輛在自訂號誌燈的路口亦遵守優先通行規則","车辆优先通行规则适用于带定时红绿灯的路口","Vehicles follow priority rules at junctions with timed traffic lights","Taşıtlar süreli trafik ışıklı kavşaklarda öncelik kurallarına uysun","Транспорт поважає знаки пріоритету на перехрестях зі світлофорами","Vozidla budou dodržovat přednosti na křižovatce řízené semafory","Vozidlá budú dodržiavať prednosť na križovatkách riadenými semaformi","รถปฏิบัติตามกฎลำดับความสำคัญที่ทางแยกที่มีสัญญาณไฟจราจรตามกำหนดเวลา","","","ﺔﺗﻮﻗﻮﻤﻟﺍ ﺭﻭﺮﻤﻟﺍ ﺕﺍﺭﺎﺷﺇ ﻊﻣ ﺕﺎﻌﻃﺎﻘﺘﻟﺍ ﺪﻨﻋ ﺔﻳﻮﻟﻭﻷﺍ ﺪﻋﺍﻮﻗ ﺕﺎﺒﻛﺮﻤﻟﺍ ﻊﺒﺘﺗ","Kend. mengikuti aturan prioritas di simpang lampu lalu linas berwaktu","Tuân thủ quy tắc ưu tiên tại giao lộ có đèn giao thông hẹn giờ",""
"VR.Group:On roads","Auf Straßen","On roads","En calles","Sur les routes","Utakon","Su strade","道路上","도로 설정","On roads","Na drogach","Nas ruas","На дорогах","行駛於路上時","道路","On roads","Yollarda","На дорозі","Na silnicích","Na cestách","บนถนน","Pe drumuri","","ﻕﺮﻄﻟﺍ ﻰﻠﻋ","Pada jalanan","Trên đường",""
"VR.Checkbox:Ban private cars and trucks on bus lanes","Verbiete private Fahrzeuge und Lieferwagen auf Busspuren","Ban private cars and trucks on bus lanes","No permitir carros y camiones privados en carriles de buses","Interdire les voitures privées et les camions dans les couloirs de bus","Személygépkocsik és a teherautók tiltása a buszsávokon","Vieta alle auto e ai camion di utilizzare le corsie riservate ai bus","自家用車やトラックのバスレーン通行禁止","버스전용차로에 자가용과 트럭 통행을 금지","Ban private cars and trucks on bus lanes","Zakaz jazdy buspasem dla samochodów osobowych i ciężarówek","Banir carros particulares e caminhões nas linhas de ônibus","Запрет личных автомобилей и грузовиков на автобусных полосах","公車專用道上禁止私家車與卡車通行","禁止私家车和卡车驶入公交专用车道","Ban private cars and trucks on bus lanes","Kişisel taşıt ve kamyonlara otobüs şeritlerini yasakla","Заборонити приватні та вантажні авто на автобусних смугах","Zakázat osobní a nákladní automobily v pruhu pro autobus","Zakázať osobné autá a nákladiaky v pruhu pre autobusy","ห้ามรถยนต์ส่วนตัวและรถบรรทุก ขับบนถนนรถบัส","Interzicere mașini personale și camioane pe benzile de autobuz","","ﺕﻼﻓﺎﺤﻟﺍ ﺕﺍﺭﺎﺴﻣ ﻲﻓ ﺔﺻﺎﺨﻟﺍ ﺕﺎﻨﺣﺎﺸﻟﺍﻭ ﺕﺍﺭﺎﻴﺴﻟﺍ ﻝﻮﺧﺩ ﺮﻈﺣ","Larangkan kend. pribadi dan truk di lajur bis","Cấm ô tô cá nhân và xe tải đi vào làn xe buýt",""
"VR.Checkbox:Enable highway merging/splitting rules","Aktiviere spezifische Einordnungsregeln auf der Autobahn","Enable highway specific lane merging/splitting rules","Activar control de unión/división de vías de autopista","Activer les règles spécifiques de divergence/convergence sur les autoroutes","Sávösszevonási/felosztási szabályok engedélyezése az autópályán","Abilita regolazione specifica per le corsie autostradali","高速道路特有の車線合流/分離ルールを適用する","고속도로 특정 차선 병합/분리 규칙 활성화","Activeer speciale verkeersregels op snelwegen","Aktywuj Zmienione zasady podziału/łączenia pasów dla autostrad","Habilitar regras de divisão e mesclagem de rodovia","Включить особые правила слияния/пересечения полос на шоссе","高速公路實施特定車道進出規則","实施高速公路特定车道合流/分离规则","Enable motorway merge/exit rules","Otobana özel şerit tümleştirme/ayırma kurallarını etkinleştir","Дозволити спеціальні правила руху по смугах для шосе","Zapnout pravidla pro napojování/sjíždění z dálnice","Zapnúť pravidlá pre napojovanie/zjazdovanie z dialnic","เปิดใช้งานการรวม / แยกเลนเฉพาะทางหลวง","","","ﺓﺩﺪﺤﻤﻟﺍ ﺔﻌﻳﺮﺴﻟﺍ ﻕﺮﻄﻟﺍ ﺕﺍﺭﺎﺣ ﻢﻴﺴﻘﺗ ﺪﻋﺍﻮﻗ ﻞﻴﻌﻔﺗ","Aktifkan aturan pengggabungan/perpisahan tol","Bật quy tắc nhập/tách làn cụ thể cho cao tốc",""
"VR.Checkbox:Heavy trucks prefer outer lanes on highways","Schwere Laster bevorzugen die äußeren Spuren auf Autobahnen","Heavy vehicles prefer outer lanes on highways","Camiones prefieren los carriles exteriores en las autopistas","Les véhicules lourds préfèrent les voies extérieures sur les autoroutes","A nehéz járművek az autópályákon a külső sávokat részesítik előnyben","I veicoli pesanti preferiscono corsie esterne sulle autostrade","高速道路では大型車は外側車線を選択します","대형화물차량은 고속도로 바깥 차선을 선호","Zware vrachtverkeer verkiest buitenste rijstroken op snelwegen","Samochody ciężarowe preferują zewnętrzne pasy na autostradach","Os veículos pesados preferem faixas externas nas rodovias","Грузовой транспорт предпочитает внешние полосы шоссе","大型車在高速公路上優先行駛於外側車道","大型车辆在高速公路上优先行驶在外侧车道","Lorries prefer outside on motorways","Ağır taşıtlar otobanlarda dış şeridi tercih etsin","Вантажні авто намагатимуться рухатись по зовнішніх смугах на шосе","Nákladní automobily budou preferovat vnější jízdní pruhy na dálnicích","Nákladiaky budú preferovať vonkajšie pruhy na diaľniciach","รถบรรทุกหนักเบี่ยงไปเลนด้านนอกบนทางหลวง","Camioanele grele preferă benzile exterioare de pe autostrăzi","","ﺔﻌﻳﺮﺴﻟﺍ ﻕﺮﻄﻟﺍ ﻰﻠﻋ ﺔﻴﺟﺭﺎﺨﻟﺍ ﺕﺍﺮﻤﻤﻟﺍ ﺔﻠﻴﻘﺜﻟﺍ ﺕﺎﺒﻛﺮﻤﻟﺍ ﻞﻀﻔﺗ","Truk berat memilih jalur luar pada tol","Phương tiện hạng nặng ưa việc đi làn ngoài cùng trên cao tốc",""
"VR.Group:In case of emergency/disaster","Im Notfall","In case of emergency","En caso de emergencia","En cas d'urgence","Vészhelyzet esetén","In caso di emergenza","緊急の場合に","비상사태 시","In geval van nood","W sytuacjach nadzwyczajnych","Em caso de emergência","При стихийных бедствиях","在緊急狀況下","在紧急情况下","In case of emergency","Aciliyet/Afet durumunda","У випадку катастрофи або стихійного лиха","V případě nouze","V prípade núdze/katastrofy ","ในกรณีฉุกเฉิน","În caz de urgență/dezastru","","ﺉﺭﺍﻮﻄﻟﺍ ﺔﻟﺎﺣ ﻲﻓ","Dalam keadaan darurat","Trong trường hợp khẩn cấp và thảm họa",""
"VR.Checkbox:Evacuation buses may ignore traffic rules","Evakuierungsbusse dürfen Verkehrsregeln missachten","Evacuation buses may ignore traffic rules","Los buses de evacuación pueden ignorar reglas de tránsito","Les bus d'évacuation peuvent ignorer les règles de trafic","Az evakuáló buszok figyelmen kívül hagyhatják a közlekedési szabályokat","I bus di evacuazione possono ignorare le regole stradali","避難バスの交通規則無視を許可","대피 버스는 교통규칙을 무시할수 있음","Evacuatiebussen mogen verkeersregels overtreden","Autobusy ewakuacyjne mogą ignorować przepisy","Os ônibus de evacuação podem ignorar as regras de trânsito","Автобусы эвакуации могут игнорировать правила движения","緊急疏散公車可忽略交通規則","应急疏散巴士可忽略交通规则","Evacuation buses may ignore traffic rules","Tahliye otobüsleri trafik kurallarını yok sayabilir","Евакуаційні автобуси можуть ігнорувати правила руху","Evakuační autobusy mohou ignorovat pravidla provozu","Evakuačné autobusy môžu ignorovať predpisy ","รถบัสอพยพอาจเพิกเฉยต่อกฎจราจร","Autobuzele de evacuare pot ignora regulile de trafic","","ﺭﻭﺮﻤﻟﺍ ﺪﻋﺍﻮﻗ ﺀﻼﺧﻹﺍ ﺕﻼﻓﺎﺣ ﻞﻫﺎﺠﺘﺗ ﺪﻗ","Bis evakuasi diizinkan untuk mengabaikan aturan lalu lintas","Xe buýt sơ tán có thể phá lệ quy tắc giao thông",""
"Maintenance.Button:Reload global configuration","Globale Konfiguration neuladen","Reload global configuration","Recargar configuración global","Recharger la config. globale","Töltse újra a globális konfigurációt","Ricarica configurazione globale","グローバル設定のリロード","글로벌 설정 불러오기","Herlaad algemene configuratie","Przeładuj ustawienia globalne","Recarregar configuração global","Перезагрузить общую конфигурацию","重新載入全局設定","重新加载所有设置","Reload global configuration","Genel ayarları yeniden yükle","Перезавантажити глобальну конфігурацію","Znovu nahrát globální nastavení","Znova načítať predvolené nastavenia","โหลดการกำหนดค่าทั้งหมด","Resetează configurațiile globale","","ﻦﻳﻮﻜﺘﻟﺍ ﻞﻣﺎﻛ ﻞﻴﻤﺤﺗ ﺓﺩﺎﻋﺇ","Muat ulang konfigurasi global","Tải lại cấu hình toàn cục",""
"Keybind:None","Nicht eing.","Not set","Ninguno","Aucun","Nincs","Non impostato","未設定","지정되지 않음","Geen","Nic","Nenhum","Не задано","無","无","Not set","Atanmadı","Немає","Žádné","Žiadné","ไม่มี","Niciuna","","ﻁﻮﺒﻀﻣ ﺮﻴﻏ","Belum disetel","Chưa có",""
"Maintenance.Button:Remove all existing traffic lights","Entferne alle vorhandenen Ampeln","Remove all existing traffic lights","Eliminar todos los semáforos","Retirer tous les feux de circulation existants","Összes jelzőlámpa eltávolítása","Rimuovi tutti i semafori esistenti","既存の信号機をすべて削除する","존재하는 신호등 모두 제거","Verwijder alle bestaande verkeerslichten","Usuń wszystkie istniejące sygnalizacje świetlne","Remover todos os semáforos existentes","Удалить все светофоры на карте","移除所有現存的號誌燈","移除所有现有的红绿灯","Remove all existing traffic lights","Varolan tüm trafik ışıklarını kaldır","Видалити всі світлофори","Smazat veškeré existující světelné řízení křižovatek","Vymazať všetky existujúce semafory","ลบสัญญาณไฟจราจรที่มีอยู่ทั้งหมด","Eliminați toate semafoarele existente","","ﺓﺩﻮﺟﻮﻤﻟﺍ ﺭﻭﺮﻤﻟﺍ ﺕﺍﺭﺎﺷﺇ ﻊﻴﻤﺟ ﺔﻟﺍﺯﺇ","Hapuskan semua lampu lalu lintas yang ada","Xóa tất cả đèn giao thông hiện có",""
"Maintenance.Dialog.Title:Remove all traffic lights","Entferne alle Ampeln","Remove all traffic lights","Eliminar todos los semáforos","Retirer tous les feux de circulation","Összes jelzőlámpa eltávolítása","Rimuovi tutti i semafori","すべての信号を削除する","모든 신호등 제거","Verwijder alle verkeerslichten?","Usuwanie sygnalizacji świetlnych","Remover todos os semáforos","Удаление всех светофоров на карте","移除所有的號誌燈","移除所有红绿灯","Remove all traffic lights","Mevcut trafik ışıklarını kaldır","Видалення всіх світлофорів","Smazání světelných řízení křižovatek","Vymazať všetky existujúce semafory","ลบสัญญาณไฟจราจรทั้งหมด","Eliminați toate semafoarele","","ﺭﻭﺮﻤﻟﺍ ﺕﺍﺭﺎﺷﺇ ﻊﻴﻤﺟ ﺔﻟﺍﺯﺇ","Hapuskan semua lampu lalu lintas","Xóa tất cả đèn giao thông",""
"Maintenance.Dialog.Text:Remove all traffic lights, Confirmation","Wirklich alle existierenden Ampeln entfernen?","Are you sure you want to remove all existing traffic lights?","¿Estás seguro de que quieres eliminar todos los semáforos?","Êtes-vous sûr de vouloir retirer tous les feux de circulation ?","Biztosan törölni szeretnéd az összes meglévő jelzőlámpát?","Sei sicuro di voler rimuovere tutti i semafori esistenti?","既存の信号機をすべて除去してもよろしいですか？","존재하는 신호등을 모두 제거하시겠습니까?","Bent u zeker dat je alle bestaande verkeerslichten wilt verwijderen?","Czy na pewno chcesz usunąć sygnalizację świetlną ze wszystkich skrzyżowań?","Você realmente deseja remover todos os semáforos existentes?","Это действие удалит все светофоры на текущей карте. Вы уверены?","是否確定要移除所有現存的號誌燈？","是否确认移除所有现有的红绿灯?","Are you sure you want to remove all existing traffic lights?","Mevcut tüm trafik ışıklarını kaldırmak istediğinizden emin misiniz?","Чи ви бажаєте очистити мапу від всіх світлофорів","Opravdu chcete smazat veškeré existující semafory ze všech křižovatek?","Vážne chcete vymazať všetky existujúce semafory?","คุณแน่ใจหรือไม่ว่าต้องการลบสัญญาณไฟจราจรที่มีอยู่ทั้งหมด","Eliminați toate semafoarele, Confirmarea","","ﺔﻟﺍﺯﺇ ﺪﻳﺮﺗ ﻚﻧﺃ ﺪﻛﺄﺘﻣ ﺖﻧﺃ ﻞﻫ\n؟ﺓﺩﻮﺟﻮﻤﻟﺍ ﺭﻭﺮﻤﻟﺍ ﺕﺍﺭﺎﺷﺇ ﻊﻴﻤﺟ","Apakah Anda yakin untuk menghapus semua lampu lalu lintas yang ada?","Bạn có chắc muốn xóa bỏ tất cả đèn giao thông hiện có chứ?",""
